EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2020,N2030,N2040,N2050,N2060,N2070
190,ANSON,MUNICIPAL,G,JONES,N,0,0,0,0,0,0
191,ANTHONY,MUNICIPAL,E,EL PASO,N,0,0,0,0,0,111
192,ANTON,MUNICIPAL,O,HOCKLEY,N,0,0,0,0,0,0
193,APPLEBY WSC,MUNICIPAL,I,NACOGDOCHES,N,0,0,0,0,0,0
194,AQUA WSC,MUNICIPAL,G,LEE,Y,0,0,0,0,0,0
194,AQUA WSC,MUNICIPAL,K,BASTROP,Y,2534,4656,7145,11210,17667,26269
194,AQUA WSC,MUNICIPAL,K,FAYETTE,Y,0,0,0,0,0,0
194,AQUA WSC,MUNICIPAL,K,TRAVIS,Y,0,0,0,0,0,0
194,AQUA WSC,MUNICIPAL,L,CALDWELL,Y,0,0,0,0,0,0
195,ARANSAS PASS,MUNICIPAL,N,ARANSAS,Y,0,0,0,0,0,0
195,ARANSAS PASS,MUNICIPAL,N,NUECES,Y,0,0,0,0,0,0
195,ARANSAS PASS,MUNICIPAL,N,SAN PATRICIO,Y,0,0,0,0,0,0
196,ARCHER CITY,MUNICIPAL,B,ARCHER,N,128,124,122,122,126,131
197,ARCOLA,MUNICIPAL,H,FORT BEND,N,82,195,281,365,436,509
198,ARGYLE,MUNICIPAL,C,DENTON,N,36,444,1058,1317,1416,1547
199,ARGYLE WSC,MUNICIPAL,C,DENTON,N,0,0,2,90,123,169
200,ARLINGTON,MUNICIPAL,C,TARRANT,N,0,6249,13660,20228,25658,30451
201,ARP,MUNICIPAL,I,SMITH,N,0,0,0,0,0,0
202,ASHERTON,MUNICIPAL,L,DIMMIT,N,28,46,61,77,0,0
203,ASPERMONT,MUNICIPAL,G,STONEWALL,N,0,0,0,0,0,0
204,ATASCOSA RURAL WSC,MUNICIPAL,L,BEXAR,N,1167,1446,1708,1970,2218,2448
205,ATHENS,MUNICIPAL,C,HENDERSON,Y,110,133,103,69,1623,4232
205,ATHENS,MUNICIPAL,I,HENDERSON,Y,2,3,2,1,17,33
206,ATLANTA,MUNICIPAL,D,CASS,N,0,0,0,0,0,0
207,AUBREY,MUNICIPAL,C,DENTON,N,0,163,331,515,680,902
208,AURORA,MUNICIPAL,C,WISE,N,0,9,24,47,87,141
209,AZLE,MUNICIPAL,C,PARKER,Y,35,55,81,126,199,342
209,AZLE,MUNICIPAL,C,TARRANT,Y,141,221,323,510,770,1366
210,BACLIFF MUD,MUNICIPAL,H,GALVESTON,N,0,0,0,0,0,0
211,BAILEY'S PRAIRIE,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,1
212,BAIRD,MUNICIPAL,G,CALLAHAN,N,0,0,0,0,0,0
213,BALCH SPRINGS,MUNICIPAL,C,DALLAS,N,127,384,691,942,1178,1386
214,BALCONES HEIGHTS,MUNICIPAL,L,BEXAR,N,0,0,0,0,0,0
215,BALLINGER,MUNICIPAL,F,RUNNELS,N,516,451,454,669,668,668
217,BANDERA,MUNICIPAL,J,BANDERA,N,0,0,0,0,0,0
218,BANGS,MUNICIPAL,F,BROWN,N,0,0,0,0,0,0
219,BARDWELL,MUNICIPAL,C,ELLIS,N,24,44,68,97,130,320
220,BARTLETT,MUNICIPAL,G,BELL,Y,126,145,166,189,215,240
220,BARTLETT,MUNICIPAL,G,WILLIAMSON,Y,156,165,179,195,214,233
221,BARTON CREEK WEST WSC,MUNICIPAL,K,TRAVIS,N,0,0,0,0,0,0
222,BARTONVILLE,MUNICIPAL,C,DENTON,N,1,151,266,354,387,429
224,BASTROP,MUNICIPAL,K,BASTROP,N,30,671,1519,2685,4274,6390
225,BASTROP COUNTY WCID #2,MUNICIPAL,K,BASTROP,N,0,0,0,0,93,644
226,BAY CITY,MUNICIPAL,K,MATAGORDA,N,0,0,0,0,0,0
227,BAYOU VISTA,MUNICIPAL,H,GALVESTON,N,0,0,0,0,0,0
228,BAYTOWN,MUNICIPAL,H,CHAMBERS,Y,0,0,0,0,0,0
228,BAYTOWN,MUNICIPAL,H,HARRIS,Y,0,0,0,0,0,0
